Player,Team,Span,Days,Year,WAR Lost
"Erasmo Ramirez , NYM",NYM,9/27 - 9/27,1,2020,0.008499999999999999
"Andres Gimenez , NYM",NYM,9/26 - 9/278/25 - 8/28,6,2020,0.051
"Michael Conforto , NYM",NYM,9/24 - 9/27,4,2020,0.033999999999999996
"Jake Marisnick , NYM",NYM,9/21 - 9/277/29 - 8/28,38,2020,0.32299999999999995
"Robert Gsellman , NYM",NYM,9/10 - 9/277/23 - 8/7,34,2020,0.289
"Franklyn Kilome , NYM",NYM,9/5 - 9/18,14,2020,0.11900000000000001
"Dellin Betances , NYM",NYM,8/30 - 9/23,25,2020,0.2125
"Steven Matz , NYM",NYM,8/30 - 9/13,15,2020,0.1275
"Corey Oswalt , NYM",NYM,8/28 - 9/19,23,2020,0.1955
"Tomas Nido , NYM",NYM,8/25 - 9/27,34,2020,0.289
"David Peterson , NYM",NYM,8/18 - 8/28,11,2020,0.09349999999999999
"Michael Wacha , NYM",NYM,8/9 - 8/27,19,2020,0.16149999999999998
"Robinson Cano , NYM",NYM,8/4 - 8/14,11,2020,0.09349999999999999
"Rene Rivera , NYM",NYM,8/2 - 9/27,57,2020,0.4845
"Eduardo Nunez , NYM",NYM,7/31 - 9/27,59,2020,0.5015
"Brad Brach , NYM",NYM,7/23 - 8/11,20,2020,0.17
"Walker Lockett , NYM",NYM,7/23 - 8/11,20,2020,0.17
"Jared Hughes , NYM",NYM,7/23 - 8/2,11,2020,0.09349999999999999
"Marcus Stroman , NYM",NYM,7/23 - 8/10,19,2020,0.16149999999999998
"Noah Syndergaard , NYM",NYM,7/23 - 9/27,67,2020,0.5695
"Jed Lowrie , NYM",NYM,7/23 - 9/27,67,2020,0.5695
"Jeff McNeil , NYM",NYM,9/26 - 9/298/14 - 8/245/23 - 6/4,28,2019,0.23800000000000002
"Tomas Nido , NYM",NYM,8/24 - 9/1,9,2019,0.0765
"Robert Gsellman , NYM",NYM,8/14 - 9/29,47,2019,0.39949999999999997
"Robinson Cano , NYM",NYM,8/5 - 9/36/9 - 6/165/23 - 6/5,52,2019,0.442
"Jacob Rhame , NYM",NYM,8/4 -,656,2019,5.5760000000000005
"Dominic Smith , NYM",NYM,7/27 - 9/26,62,2019,0.527
"Zack Wheeler , NYM",NYM,7/12 - 7/26,15,2019,0.1275
"Jeurys Familia , NYM",NYM,6/18 - 7/25/1 - 5/12,27,2019,0.22949999999999998
"Noah Syndergaard , NYM",NYM,6/16 - 6/30,15,2019,0.1275
"Brandon Nimmo , NYM",NYM,5/22 -,730,2019,6.205
"Seth Lugo , NYM",NYM,5/20 - 5/31,12,2019,0.102
"Michael Conforto , NYM",NYM,5/17 - 5/26,10,2019,0.085
"Justin Wilson , NYM",NYM,5/12 - 7/24/22 - 5/6,67,2019,0.5695
"Steven Matz , NYM",NYM,5/9 - 5/18,10,2019,0.085
"Jason Vargas , NYM",NYM,5/6 - 5/25,20,2019,0.17
"Luis Avilan , NYM",NYM,5/4 - 7/2,60,2019,0.51
"Jacob deGrom , NYM",NYM,4/16 - 4/26,11,2019,0.09349999999999999
"Jed Lowrie , NYM",NYM,3/28 - 9/7,164,2019,1.3940000000000001
"Yoenis Cespedes , NYM",NYM,3/28 - 9/29,186,2019,1.5809999999999997
"Travis d'Arnaud , NYM",NYM,3/28 - 4/7,11,2019,0.09349999999999999
"Drew Smith , NYM",NYM,3/28 - 9/29,186,2019,1.5809999999999997
"Todd Frazier , NYM",NYM,3/28 - 4/22,26,2019,0.221
"Eric Hanhold , NYM",NYM,9/25 - 10/1,7,2018,0.059500000000000004
"Brandon Nimmo , NYM",NYM,8/20 - 8/28,9,2018,0.0765
"Bobby Wahl , NYM",NYM,8/17 - 10/1,46,2018,0.391
"Anthony Swarzak , NYM",NYM,8/5 - 9/84/2 - 6/5,100,2018,0.85
"Steven Matz , NYM",NYM,8/3 - 8/16,14,2018,0.11900000000000001
"Phillip Evans , NYM",NYM,8/2 - 10/1,61,2018,0.5185000000000001
"Yoenis Cespedes , NYM",NYM,7/24 - 10/15/16 - 7/20,136,2018,1.156
"Noah Syndergaard , NYM",NYM,7/22 - 8/15/29 - 7/13,57,2018,0.4845
"Todd Frazier , NYM",NYM,7/9 - 8/25/8 - 6/5,54,2018,0.45899999999999996
"Jason Vargas , NYM",NYM,6/24 - 7/273/29 - 4/28,65,2018,0.5525
"Jay Bruce , NYM",NYM,6/20 - 8/24,66,2018,0.561
"Jeurys Familia , NYM",NYM,6/8 - 6/17,10,2018,0.085
"Wilmer Flores , NYM",NYM,5/28 - 6/15,19,2018,0.16149999999999998
"A.J. Ramos , NYM",NYM,5/28 - 10/1,127,2018,1.0795000000000001
"Juan Lagares , NYM",NYM,5/18 - 10/1,137,2018,1.1645
"Jacob deGrom , NYM",NYM,5/6 - 5/13,8,2018,0.06799999999999999
"Kevin Plawecki , NYM",NYM,4/13 - 5/28,46,2018,0.391
"Travis d'Arnaud , NYM",NYM,4/11 - 10/1,174,2018,1.479
"Michael Conforto , NYM",NYM,3/29 - 4/5,8,2018,0.06799999999999999
"Rafael Montero , NYM",NYM,3/29 - 10/1,187,2018,1.5895
"David Wright , NYM",NYM,3/29 - 9/25,181,2018,1.5384999999999998
"T.J. Rivera , NYM",NYM,3/29 - 10/1,187,2018,1.5895
"Yoenis Cespedes , NYM",NYM,8/26 - 10/14/28 - 6/10,81,2017,0.6884999999999999
"Michael Conforto , NYM",NYM,8/25 - 10/17/1 - 7/8,46,2017,0.391
"Steven Matz , NYM",NYM,8/23 - 10/14/2 - 6/10,110,2017,0.935
"Jose Reyes , NYM",NYM,8/17 - 8/26,10,2017,0.085
"Seth Lugo , NYM",NYM,8/15 - 8/274/2 - 6/11,84,2017,0.714
"T.J. Rivera , NYM",NYM,7/28 - 10/1,66,2017,0.561
"Zack Wheeler , NYM",NYM,7/24 - 10/16/21 - 7/1,81,2017,0.6884999999999999
"Brandon Nimmo , NYM",NYM,7/8 - 7/284/2 - 5/16,66,2017,0.561
"Robert Gsellman , NYM",NYM,6/28 - 8/15,49,2017,0.4165
"Matt Harvey , NYM",NYM,6/16 - 9/2,79,2017,0.6715
"Juan Lagares , NYM",NYM,6/16 - 8/104/2 - 4/13,68,2017,0.578
"Josh Smoker , NYM",NYM,6/14 - 7/20,37,2017,0.3145
"Asdrubal Cabrera , NYM",NYM,6/14 - 6/235/16 - 5/25,20,2017,0.17
"Tom Milone , NYM",NYM,5/24 - 8/19,88,2017,0.7479999999999999
"Jeurys Familia , NYM",NYM,5/12 - 8/25,106,2017,0.9009999999999998
"Travis d'Arnaud , NYM",NYM,5/3 - 5/24,22,2017,0.18699999999999997
"Noah Syndergaard , NYM",NYM,5/1 - 9/23,146,2017,1.2409999999999999
"Lucas Duda , NYM",NYM,4/20 - 5/12,23,2017,0.1955
"Wilmer Flores , NYM",NYM,4/20 - 5/3,14,2017,0.11900000000000001
"David Wright , NYM",NYM,4/2 - 10/1,183,2017,1.5554999999999999
"Jacob deGrom , NYM",NYM,9/21 - 10/2,12,2016,0.102
"Justin Ruggiano , NYM",NYM,8/27 - 10/28/2 - 8/18,54,2016,0.45899999999999996
"Jonathan Niese , NYM",NYM,8/24 - 10/2,40,2016,0.34
"Steven Matz , NYM",NYM,8/15 - 10/6,53,2016,0.4504999999999999
"Yoenis Cespedes , NYM",NYM,8/4 - 8/19,16,2016,0.13599999999999998
"Asdrubal Cabrera , NYM",NYM,8/1 - 8/19,19,2016,0.16149999999999998
"Jose Reyes , NYM",NYM,7/30 - 8/13,15,2016,0.1275
"Juan Lagares , NYM",NYM,7/29 - 9/166/15 - 7/2,68,2016,0.578
"Matt Harvey , NYM",NYM,7/5 - 10/2,90,2016,0.765
"Jim Henderson , NYM",NYM,6/19 - 8/20,63,2016,0.5355
"David Wright , NYM",NYM,5/30 - 10/2,126,2016,1.071
"Lucas Duda , NYM",NYM,5/21 - 9/17,120,2016,1.02
"Wilmer Flores , NYM",NYM,5/12 - 5/29,18,2016,0.153
"Travis d'Arnaud , NYM",NYM,4/26 - 6/21,57,2016,0.4845
"Josh Edgin , NYM",NYM,4/3 - 5/10,38,2016,0.32299999999999995
"Zack Wheeler , NYM",NYM,4/3 - 10/2,183,2016,1.5554999999999999
"Darrell Ceciliani , NYM",NYM,9/8 - 10/5,28,2015,0.23800000000000002
"Jack Leathersich , NYM",NYM,8/24 - 10/5,43,2015,0.3655
"Lucas Duda , NYM",NYM,8/22 - 9/7,17,2015,0.1445
"Bobby Parnell , NYM",NYM,8/17 - 9/13/27 - 6/11,93,2015,0.7904999999999999
"Kirk Nieuwenhuis , NYM",NYM,7/30 - 9/1,34,2015,0.289
"Erik Goeddel , NYM",NYM,7/27 - 9/16/12 - 7/27,83,2015,0.7054999999999999
"Rafael Montero , NYM",NYM,7/24 - 10/54/30 - 7/24,160,2015,1.36
"David Wright , NYM",NYM,7/24 - 8/244/15 - 7/24,133,2015,1.1304999999999998
"Michael Cuddyer , NYM",NYM,7/22 - 8/10,20,2015,0.17
"Buddy Carlyle , NYM",NYM,7/7 - 10/55/12 - 7/7,148,2015,1.258
"Steven Matz , NYM",NYM,7/6 - 9/1,58,2015,0.49299999999999994
"Travis d'Arnaud , NYM",NYM,6/21 - 7/314/20 - 6/23,106,2015,0.9009999999999998
"Jerry Blevins , NYM",NYM,6/13 - 10/54/21 - 6/13,169,2015,1.4365
"Daniel Murphy , NYM",NYM,6/5 - 6/30,26,2015,0.221
"Dilson Herrera , NYM",NYM,5/15 - 6/11,28,2015,0.23800000000000002
"Cesar Puello , NYM",NYM,5/5 - 7/274/3 - 5/5,117,2015,0.9945
"Dillon Gee , NYM",NYM,5/4 - 6/3,31,2015,0.2635
"Josh Edgin , NYM",NYM,4/6 - 10/44/5 - 4/6,184,2015,1.564
"Jenrry Mejia , NYM",NYM,4/5 - 4/11,7,2015,0.059500000000000004
"Zack Wheeler , NYM",NYM,4/5 - 10/4,183,2015,1.5554999999999999
"Vic Black , NYM",NYM,3/27 - 6/7,73,2015,0.6204999999999999
